"company","year","sales"
"GS홈쇼핑","실적2020",12752
"GV","실적2017",729
"GV","실적2018",532
"GV","실적2019",587
"GV","실적2020",NA
"HB테크놀러지","실적2017",2852
"HB테크놀러지","실적2018",2739
"HB테크놀러지","실적2019",2806
"HB테크놀러지","실적2020",NA
"HDC","실적2017",15210
"HDC","실적2018",15478
"HDC","실적2019",16167
"HDC","실적2020",NA
"HDC아이콘트롤스","실적2017",2640
"HDC아이콘트롤스","실적2018",2720
"HDC아이콘트롤스","실적2019",2524
"HDC아이콘트롤스","실적2020",2487
"HDC현대EP","실적2017",9144
"HDC현대EP","실적2018",9108
"HDC현대EP","실적2019",8351
"HDC현대EP","실적2020",NA
"HDC현대산업개발","실적2017",NA
"HDC현대산업개발","실적2018",27927
"HDC현대산업개발","실적2019",42165
"HDC현대산업개발","실적2020",37290
"HMM","실적2017",50280
"HMM","실적2018",52221
"HMM","실적2019",55131
"HMM","실적2020",61965
"HRS","실적2017",677
"HRS","실적2018",746
"HRS","실적2019",667
"HRS","실적2020",NA
"HSD엔진","실적2017",7689
"HSD엔진","실적2018",5113
"HSD엔진","실적2019",6743
"HSD엔진","실적2020",8876
"IBKS제10호스팩","실적2017",NA
"IBKS제10호스팩","실적2018",NA
"IBKS제10호스팩","실적2019",NA
"IBKS제10호스팩","실적2020",NA
"IBKS제12호스팩","실적2017",NA
"IBKS제12호스팩","실적2018",NA
"IBKS제12호스팩","실적2019",NA
"IBKS제12호스팩","실적2020",NA
"IBKS제13호스팩","실적2017",NA
"IBKS제13호스팩","실적2018",NA
"IBKS제13호스팩","실적2019",NA
"IBKS제13호스팩","실적2020",NA
"IBKS제14호스팩","실적2017",NA
"IBKS제14호스팩","실적2018",NA
"IBKS제14호스팩","실적2019",NA
"IBKS제14호스팩","실적2020",NA
"iMBC","실적2017",574
"iMBC","실적2018",581
"iMBC","실적2019",516
"iMBC","실적2020",NA
"ISC","실적2017",1126
"ISC","실적2018",1019
"ISC","실적2019",877
"ISC","실적2020",1217
"ITX-AI","실적2017",311
"ITX-AI","실적2018",277
"ITX-AI","실적2019",319
"ITX-AI","실적2020",NA
"JB금융지주","실적2017",22919
"JB금융지주","실적2018",24489
"JB금융지주","실적2019",24084
"JB금융지주","실적2020",NA
"JTC","실적2017",5325
"JTC","실적2018",5189
"JTC","실적2019",5592
"JTC","실적2020",NA
"JW생명과학","실적2017",1436
"JW생명과학","실적2018",1552
"JW생명과학","실적2019",1702
"JW생명과학","실적2020",NA
"JW신약","실적2017",768
"JW신약","실적2018",918
"JW신약","실적2019",1025
"JW신약","실적2020",NA
"JW중외제약","실적2017",5029
"JW중외제약","실적2018",5372
"JW중외제약","실적2019",5113
"JW중외제약","실적2020",NA
"JW홀딩스","실적2017",6812
"JW홀딩스","실적2018",7254
"JW홀딩스","실적2019",7264
"JW홀딩스","실적2020",NA
"JYP Ent.","실적2017",1022
"JYP Ent.","실적2018",1248
"JYP Ent.","실적2019",1554
"JYP Ent.","실적2020",1431
"KBI메탈","실적2017",4711
"KBI메탈","실적2018",4638
"KBI메탈","실적2019",4948
"KBI메탈","실적2020",NA
"KB금융","실적2017",392293
