"company","year","debt"
"HB테크놀러지","실적2019",54
"HB테크놀러지","실적2020",NA
"HDC","실적2017",120
"HDC","실적2018",61
"HDC","실적2019",78
"HDC","실적2020",NA
"HDC아이콘트롤스","실적2017",40
"HDC아이콘트롤스","실적2018",39
"HDC아이콘트롤스","실적2019",40
"HDC아이콘트롤스","실적2020",NA
"HDC현대EP","실적2017",118
"HDC현대EP","실적2018",112
"HDC현대EP","실적2019",93
"HDC현대EP","실적2020",NA
"HDC현대산업개발","실적2017",NA
"HDC현대산업개발","실적2018",163
"HDC현대산업개발","실적2019",97
"HDC현대산업개발","실적2020",NA
"HMM","실적2017",301
"HMM","실적2018",296
"HMM","실적2019",556
"HMM","실적2020",NA
"HRS","실적2017",28
"HRS","실적2018",44
"HRS","실적2019",23
"HRS","실적2020",NA
"HSD엔진","실적2017",126
"HSD엔진","실적2018",221
"HSD엔진","실적2019",340
"HSD엔진","실적2020",NA
"IBKS제10호스팩","실적2017",NA
"IBKS제10호스팩","실적2018",18
"IBKS제10호스팩","실적2019",18
"IBKS제10호스팩","실적2020",NA
"IBKS제12호스팩","실적2017",NA
"IBKS제12호스팩","실적2018",NA
"IBKS제12호스팩","실적2019",20
"IBKS제12호스팩","실적2020",NA
"IBKS제13호스팩","실적2017",NA
"IBKS제13호스팩","실적2018",NA
"IBKS제13호스팩","실적2019",NA
"IBKS제13호스팩","실적2020",NA
"IBKS제14호스팩","실적2017",NA
"IBKS제14호스팩","실적2018",NA
"IBKS제14호스팩","실적2019",NA
"IBKS제14호스팩","실적2020",NA
"iMBC","실적2017",24
"iMBC","실적2018",21
"iMBC","실적2019",24
"iMBC","실적2020",NA
"ISC","실적2017",22
"ISC","실적2018",21
"ISC","실적2019",16
"ISC","실적2020",NA
"ITX-AI","실적2017",62
"ITX-AI","실적2018",39
"ITX-AI","실적2019",123
"ITX-AI","실적2020",NA
"JB금융지주","실적2017",1442
"JB금융지주","실적2018",1252
"JB금융지주","실적2019",1144
"JB금융지주","실적2020",NA
"JTC","실적2017",65
"JTC","실적2018",47
"JTC","실적2019",139
"JTC","실적2020",NA
"JW생명과학","실적2017",94
"JW생명과학","실적2018",83
"JW생명과학","실적2019",64
"JW생명과학","실적2020",NA
"JW신약","실적2017",236
"JW신약","실적2018",228
"JW신약","실적2019",107
"JW신약","실적2020",NA
"JW중외제약","실적2017",132
"JW중외제약","실적2018",128
"JW중외제약","실적2019",149
"JW중외제약","실적2020",NA
"JW홀딩스","실적2017",263
"JW홀딩스","실적2018",218
"JW홀딩스","실적2019",253
"JW홀딩스","실적2020",NA
"JYP Ent.","실적2017",45
"JYP Ent.","실적2018",24
"JYP Ent.","실적2019",28
"JYP Ent.","실적2020",NA
"KBI메탈","실적2017",150
"KBI메탈","실적2018",143
"KBI메탈","실적2019",135
"KBI메탈","실적2020",NA
"KB금융","실적2017",1182
"KB금융","실적2018",1242
"KB금융","실적2019",1225
"KB금융","실적2020",NA
"KB오토시스","실적2017",76
"KB오토시스","실적2018",53
"KB오토시스","실적2019",40
"KB오토시스","실적2020",NA
"KCC건설","실적2017",178
"KCC건설","실적2018",174
"KCC건설","실적2019",175
"KCC건설","실적2020",NA
"KCI","실적2017",28
"KCI","실적2018",18
"KCI","실적2019",20
"KCI","실적2020",NA
"KC그린홀딩스","실적2017",109
"KC그린홀딩스","실적2018",133
"KC그린홀딩스","실적2019",177
"KC그린홀딩스","실적2020",NA
"KC코트렐","실적2017",132
"KC코트렐","실적2018",182
"KC코트렐","실적2019",335
"KC코트렐","실적2020",NA
"KD","실적2017",142
"KD","실적2018",548
"KD","실적2019",322
"KD","실적2020",NA
"KEC","실적2017",61
"KEC","실적2018",55
"KEC","실적2019",56
"KEC","실적2020",NA
"KG ETS","실적2017",40
"KG ETS","실적2018",50
"KG ETS","실적2019",78
"KG ETS","실적2020",NA
"KG동부제철","실적2017",5842
"KG동부제철","실적2018",38840
"KG동부제철","실적2019",164
"KG동부제철","실적2020",NA
"KG모빌리언스","실적2017",112
"KG모빌리언스","실적2018",110
"KG모빌리언스","실적2019",89
"KG모빌리언스","실적2020",NA
"KG이니시스","실적2017",199
"KG이니시스","실적2018",175
"KG이니시스","실적2019",235
"KG이니시스","실적2020",NA
"KG케미칼","실적2017",156
"KG케미칼","실적2018",149
"KG케미칼","실적2019",207
"KG케미칼","실적2020",NA
"KH바텍","실적2017",53
"KH바텍","실적2018",71
"KH바텍","실적2019",53
"KH바텍","실적2020",NA
"KISCO홀딩스","실적2017",18
"KISCO홀딩스","실적2018",20
"KISCO홀딩스","실적2019",17
"KISCO홀딩스","실적2020",NA
"KMH","실적2017",36
"KMH","실적2018",54
"KMH","실적2019",51
"KMH","실적2020",NA
"KMH하이텍","실적2017",26
"KMH하이텍","실적2018",17
"KMH하이텍","실적2019",18
"KMH하이텍","실적2020",NA
"KNN","실적2017",9
"KNN","실적2018",8
"KNN","실적2019",7
"KNN","실적2020",NA
"KPX생명과학","실적2017",17
"KPX생명과학","실적2018",17
"KPX생명과학","실적2019",19
"KPX생명과학","실적2020",NA
"KPX케미칼","실적2017",23
"KPX케미칼","실적2018",20
"KPX케미칼","실적2019",12
"KPX케미칼","실적2020",NA
"KPX홀딩스","실적2017",27
"KPX홀딩스","실적2018",25
"KPX홀딩스","실적2019",22
"KPX홀딩스","실적2020",NA
"KR모터스","실적2017",139
"KR모터스","실적2018",121
"KR모터스","실적2019",309
"KR모터스","실적2020",NA
"KSS해운","실적2017",297
"KSS해운","실적2018",261
"KSS해운","실적2019",239
"KSS해운","실적2020",NA
"KTB투자증권","실적2017",285
"KTB투자증권","실적2018",232
"KTB투자증권","실적2019",392
"KTB투자증권","실적2020",NA
"KTcs","실적2017",118
"KTcs","실적2018",116
"KTcs","실적2019",130
"KTcs","실적2020",NA
"KTH","실적2017",25
"KTH","실적2018",31
"KTH","실적2019",36
"KTH","실적2020",NA
"KTis","실적2017",38
"KTis","실적2018",43
"KTis","실적2019",85
"KTis","실적2020",NA
"KT서브마린","실적2017",31
"KT서브마린","실적2018",26
"KT서브마린","실적2019",18
"KT서브마린","실적2020",NA
"LF","실적2017",44
"LF","실적2018",39
"LF","실적2019",73
"LF","실적2020",NA
"LG","실적2017",33
"LG","실적2018",25
"LG","실적2019",17
"LG","실적2020",NA
"LG디스플레이","실적2017",94
"LG디스플레이","실적2018",122
"LG디스플레이","실적2019",184
"LG디스플레이","실적2020",NA
"LG상사","실적2017",213
"LG상사","실적2018",225
"LG상사","실적2019",214
"LG상사","실적2020",NA
"LG생활건강","실적2017",55
"LG생활건강","실적2018",46
"LG생활건강","실적2019",53
"LG생활건강","실적2020",NA
"LG유플러스","실적2017",128
"LG유플러스","실적2018",103
"LG유플러스","실적2019",144
"LG유플러스","실적2020",NA
"LG이노텍","실적2017",201
"LG이노텍","실적2018",171
"LG이노텍","실적2019",161
"LG이노텍","실적2020",NA
"LG전자","실적2017",180
"LG전자","실적2018",171
"LG전자","실적2019",173
"LG전자","실적2020",NA
"LG하우시스","실적2017",162
"LG하우시스","실적2018",173
"LG하우시스","실적2019",180
"LG하우시스","실적2020",NA
"LG헬로비전","실적2017",89
"LG헬로비전","실적2018",84
"LG헬로비전","실적2019",88
"LG헬로비전","실적2020",NA
"LG화학","실적2017",53
"LG화학","실적2018",67
"LG화학","실적2019",95
"LG화학","실적2020",NA
"LIG넥스원","실적2017",232
"LIG넥스원","실적2018",257
"LIG넥스원","실적2019",265
"LIG넥스원","실적2020",NA
"LS","실적2017",174
"LS","실적2018",140
"LS","실적2019",152
"LS","실적2020",NA
"LS네트웍스","실적2017",104
"LS네트웍스","실적2018",99
"LS네트웍스","실적2019",124
"LS네트웍스","실적2020",NA
"LS전선아시아","실적2017",113
"LS전선아시아","실적2018",143
"LS전선아시아","실적2019",123
"LS전선아시아","실적2020",NA
"MH에탄올","실적2017",368
"MH에탄올","실적2018",380
"MH에탄올","실적2019",468
"MH에탄올","실적2020",NA
"MP그룹","실적2017",153
"MP그룹","실적2018",89
"MP그룹","실적2019",161
"MP그룹","실적2020",NA
"MP한강","실적2017",15
"MP한강","실적2018",9
"MP한강","실적2019",69
"MP한강","실적2020",NA
"NAVER","실적2017",51
"NAVER","실적2018",66
"NAVER","실적2019",89
"NAVER","실적2020",NA
"NEW","실적2017",96
"NEW","실적2018",98
"NEW","실적2019",157
"NEW","실적2020",NA
"NE능률","실적2017",62
"NE능률","실적2018",66
"NE능률","실적2019",60
"NE능률","실적2020",NA
"NHN벅스","실적2017",40
"NHN벅스","실적2018",37
"NHN벅스","실적2019",42
"NHN벅스","실적2020",NA
"NHN한국사이버결제","실적2017",111
"NHN한국사이버결제","실적2018",141
"NHN한국사이버결제","실적2019",144
"NHN한국사이버결제","실적2020",NA
"NH투자증권","실적2017",807
"NH투자증권","실적2018",957
"NH투자증권","실적2019",828
"NH투자증권","실적2020",NA
"NICE","실적2017",98
"NICE","실적2018",108
"NICE","실적2019",109
"NICE","실적2020",NA
"NICE평가정보","실적2017",36
"NICE평가정보","실적2018",35
"NICE평가정보","실적2019",42
"NICE평가정보","실적2020",NA
"NI스틸","실적2017",156
"NI스틸","실적2018",129
"NI스틸","실적2019",133
"NI스틸","실적2020",NA
"OCI","실적2017",77
"OCI","실적2018",62
"OCI","실적2019",79
"OCI","실적2020",NA
"OQP","실적2017",58
"OQP","실적2018",168
"OQP","실적2019",191
"OQP","실적2020",NA
"PI첨단소재","실적2017",37
"PI첨단소재","실적2018",43
"PI첨단소재","실적2019",56
"PI첨단소재","실적2020",NA
"PN풍년","실적2017",51
"PN풍년","실적2018",46
"PN풍년","실적2019",37
"PN풍년","실적2020",NA
"RFHIC","실적2017",21
"RFHIC","실적2018",43
"RFHIC","실적2019",20
"RFHIC","실적2020",NA
"S-Oil","실적2017",120
"S-Oil","실적2018",146
"S-Oil","실적2019",151
"S-Oil","실적2020",NA
"S&K폴리텍","실적2017",219
"S&K폴리텍","실적2018",170
"S&K폴리텍","실적2019",177
"S&K폴리텍","실적2020",NA
"S&TC","실적2017",28
"S&TC","실적2018",21
"S&TC","실적2019",36
"S&TC","실적2020",NA
"S&T모티브","실적2017",47
"S&T모티브","실적2018",45
"S&T모티브","실적2019",41
"S&T모티브","실적2020",NA
"S&T중공업","실적2017",38
"S&T중공업","실적2018",39
"S&T중공업","실적2019",36
"S&T중공업","실적2020",NA
"S&T홀딩스","실적2017",41
"S&T홀딩스","실적2018",40
"S&T홀딩스","실적2019",37
"S&T홀딩스","실적2020",NA
"SBI인베스트먼트","실적2017",4
"SBI인베스트먼트","실적2018",18
"SBI인베스트먼트","실적2019",17
"SBI인베스트먼트","실적2020",NA
"SBI핀테크솔루션즈","실적2017",873
"SBI핀테크솔루션즈","실적2018",696
"SBI핀테크솔루션즈","실적2019",482
"SBI핀테크솔루션즈","실적2020",NA
"SBS","실적2017",93
"SBS","실적2018",68
"SBS","실적2019",92
"SBS","실적2020",NA
"SBS미디어홀딩스","실적2017",14
"SBS미디어홀딩스","실적2018",13
"SBS미디어홀딩스","실적2019",12
