"company","year","debt"
"동양생명","실적2017",1137
"동양생명","실적2018",1292
"동양생명","실적2019",1205
"동양생명","실적2020",NA
"동양에스텍","실적2017",129
"동양에스텍","실적2018",151
"동양에스텍","실적2019",166
"동양에스텍","실적2020",NA
"동양이엔피","실적2017",38
"동양이엔피","실적2018",35
"동양이엔피","실적2019",31
"동양이엔피","실적2020",NA
"동양철관","실적2017",183
"동양철관","실적2018",106
"동양철관","실적2019",105
"동양철관","실적2020",NA
"동양파일","실적2017",8
"동양파일","실적2018",7
"동양파일","실적2019",6
"동양파일","실적2020",NA
"동양피스톤","실적2017",245
"동양피스톤","실적2018",232
"동양피스톤","실적2019",223
"동양피스톤","실적2020",NA
"동우팜투테이블","실적2017",16
"동우팜투테이블","실적2018",16
"동우팜투테이블","실적2019",18
"동우팜투테이블","실적2020",NA
"동운아나텍","실적2017",61
"동운아나텍","실적2018",101
"동운아나텍","실적2019",118
"동운아나텍","실적2020",NA
"동원F&B","실적2017",130
"동원F&B","실적2018",121
"동원F&B","실적2019",130
"동원F&B","실적2020",NA
"동원개발","실적2017",18
"동원개발","실적2018",24
"동원개발","실적2019",20
"동원개발","실적2020",NA
"동원금속","실적2017",684
"동원금속","실적2018",1136
"동원금속","실적2019",701
"동원금속","실적2020",NA
"동원산업","실적2017",183
"동원산업","실적2018",166
"동원산업","실적2019",176
"동원산업","실적2020",NA
"동원수산","실적2017",166
"동원수산","실적2018",112
"동원수산","실적2019",93
"동원수산","실적2020",NA
"동원시스템즈","실적2017",140
"동원시스템즈","실적2018",109
"동원시스템즈","실적2019",101
"동원시스템즈","실적2020",NA
"동일고무벨트","실적2017",53
"동일고무벨트","실적2018",52
"동일고무벨트","실적2019",45
"동일고무벨트","실적2020",NA
"동일금속","실적2017",19
"동일금속","실적2018",18
"동일금속","실적2019",14
"동일금속","실적2020",NA
"동일기연","실적2017",10
"동일기연","실적2018",9
"동일기연","실적2019",11
"동일기연","실적2020",NA
"동일산업","실적2017",15
"동일산업","실적2018",15
"동일산업","실적2019",14
"동일산업","실적2020",NA
"동일제강","실적2017",14
"동일제강","실적2018",14
"동일제강","실적2019",12
"동일제강","실적2020",NA
"동일철강","실적2017",189
"동일철강","실적2018",182
"동일철강","실적2019",65
"동일철강","실적2020",NA
"동진쎄미켐","실적2017",149
"동진쎄미켐","실적2018",148
"동진쎄미켐","실적2019",133
"동진쎄미켐","실적2020",NA
"동화기업","실적2017",85
"동화기업","실적2018",81
"동화기업","실적2019",112
"동화기업","실적2020",NA
"동화약품","실적2017",23
"동화약품","실적2018",24
"동화약품","실적2019",24
"동화약품","실적2020",NA
"두산","실적2017",278
"두산","실적2018",304
"두산","실적2019",327
"두산","실적2020",NA
"두산밥캣","실적2017",80
"두산밥캣","실적2018",72
"두산밥캣","실적2019",68
"두산밥캣","실적2020",NA
"두산솔루스","실적2017",NA
"두산솔루스","실적2018",NA
"두산솔루스","실적2019",251
"두산솔루스","실적2020",NA
"두산인프라코어","실적2017",223
"두산인프라코어","실적2018",188
"두산인프라코어","실적2019",165
"두산인프라코어","실적2020",NA
"두산중공업","실적2017",280
"두산중공업","실적2018",299
"두산중공업","실적2019",300
"두산중공업","실적2020",NA
"두산퓨얼셀","실적2017",NA
"두산퓨얼셀","실적2018",NA
"두산퓨얼셀","실적2019",197
"두산퓨얼셀","실적2020",NA
"두올","실적2017",115
"두올","실적2018",111
"두올","실적2019",105
"두올","실적2020",NA
"듀오백","실적2017",17
"듀오백","실적2018",12
"듀오백","실적2019",19
"듀오백","실적2020",NA
"드래곤플라이","실적2017",133
"드래곤플라이","실적2018",9
"드래곤플라이","실적2019",20
"드래곤플라이","실적2020",NA
"드림시큐리티","실적2017",22
"드림시큐리티","실적2018",12
"드림시큐리티","실적2019",20
"드림시큐리티","실적2020",NA
"드림씨아이에스","실적2017",380
"드림씨아이에스","실적2018",171
"드림씨아이에스","실적2019",132
"드림씨아이에스","실적2020",NA
"드림어스컴퍼니","실적2017",15
"드림어스컴퍼니","실적2018",27
"드림어스컴퍼니","실적2019",45
"드림어스컴퍼니","실적2020",NA
"드림텍","실적2017",156
"드림텍","실적2018",99
"드림텍","실적2019",70
"드림텍","실적2020",NA
"디딤","실적2017",72
"디딤","실적2018",108
"디딤","실적2019",257
"디딤","실적2020",NA
"디바이스이엔지","실적2017",63
"디바이스이엔지","실적2018",22
"디바이스이엔지","실적2019",69
"디바이스이엔지","실적2020",NA
"디스플레이텍","실적2017",12
"디스플레이텍","실적2018",15
"디스플레이텍","실적2019",12
"디스플레이텍","실적2020",NA
"디씨엠","실적2017",15
"디씨엠","실적2018",15
"디씨엠","실적2019",18
"디씨엠","실적2020",NA
"디아이","실적2017",50
"디아이","실적2018",46
"디아이","실적2019",50
"디아이","실적2020",NA
"디아이동일","실적2017",78
"디아이동일","실적2018",84
"디아이동일","실적2019",82
"디아이동일","실적2020",NA
"디아이씨","실적2017",322
"디아이씨","실적2018",334
"디아이씨","실적2019",318
"디아이씨","실적2020",NA
"디아이티","실적2017",74
"디아이티","실적2018",85
"디아이티","실적2019",68
"디아이티","실적2020",NA
"디알젬","실적2017",119
"디알젬","실적2018",61
"디알젬","실적2019",93
"디알젬","실적2020",NA
"디알텍","실적2017",64
"디알텍","실적2018",58
"디알텍","실적2019",89
"디알텍","실적2020",NA
"디앤씨미디어","실적2017",11
"디앤씨미디어","실적2018",19
"디앤씨미디어","실적2019",28
"디앤씨미디어","실적2020",NA
"디에스케이","실적2017",114
"디에스케이","실적2018",54
"디에스케이","실적2019",37
"디에스케이","실적2020",NA
"디에스티","실적2017",2828
"디에스티","실적2018",585
"디에스티","실적2019",1312
"디에스티","실적2020",NA
"디에이치피코리아","실적2017",9
"디에이치피코리아","실적2018",9
"디에이치피코리아","실적2019",10
"디에이치피코리아","실적2020",NA
"디에이테크놀로지","실적2017",112
"디에이테크놀로지","실적2018",104
"디에이테크놀로지","실적2019",86
"디에이테크놀로지","실적2020",NA
"디에이피","실적2017",141
"디에이피","실적2018",113
"디에이피","실적2019",124
"디에이피","실적2020",NA
"디엔에이링크","실적2017",5
"디엔에이링크","실적2018",78
"디엔에이링크","실적2019",168
"디엔에이링크","실적2020",NA
"디엔에프","실적2017",25
"디엔에프","실적2018",28
"디엔에프","실적2019",21
"디엔에프","실적2020",NA
"디엠티","실적2017",35
"디엠티","실적2018",33
"디엠티","실적2019",20
"디엠티","실적2020",NA
"디오","실적2017",54
"디오","실적2018",88
"디오","실적2019",90
"디오","실적2020",NA
"디오스텍","실적2017",49
"디오스텍","실적2018",46
"디오스텍","실적2019",51
"디오스텍","실적2020",NA
"디와이","실적2017",71
"디와이","실적2018",66
"디와이","실적2019",59
"디와이","실적2020",NA
"디와이파워","실적2017",99
"디와이파워","실적2018",72
"디와이파워","실적2019",57
"디와이파워","실적2020",NA
"디와이피엔에프","실적2017",77
"디와이피엔에프","실적2018",179
"디와이피엔에프","실적2019",135
"디와이피엔에프","실적2020",NA
"디이엔티","실적2017",163
"디이엔티","실적2018",239
"디이엔티","실적2019",154
"디이엔티","실적2020",NA
"디자인","실적2017",85
"디자인","실적2018",29
"디자인","실적2019",102
"디자인","실적2020",NA
"디젠스","실적2017",365
"디젠스","실적2018",246
"디젠스","실적2019",305
"디젠스","실적2020",NA
"디지아이","실적2017",8
"디지아이","실적2018",8
"디지아이","실적2019",7
"디지아이","실적2020",NA
"디지캡","실적2017",83
"디지캡","실적2018",48
"디지캡","실적2019",63
"디지캡","실적2020",NA
"디지탈옵틱","실적2017",95
"디지탈옵틱","실적2018",204
"디지탈옵틱","실적2019",115
"디지탈옵틱","실적2020",NA
"디지털대성","실적2017",41
"디지털대성","실적2018",45
"디지털대성","실적2019",50
"디지털대성","실적2020",NA
"디지틀조선","실적2017",10
"디지틀조선","실적2018",9
"디지틀조선","실적2019",11
"디지틀조선","실적2020",NA
"디케이락","실적2017",29
"디케이락","실적2018",28
"디케이락","실적2019",33
"디케이락","실적2020",NA
"디케이앤디","실적2017",36
"디케이앤디","실적2018",22
"디케이앤디","실적2019",20
"디케이앤디","실적2020",NA
"디케이티","실적2017",507
"디케이티","실적2018",152
"디케이티","실적2019",96
"디케이티","실적2020",NA
"디티알오토모티브","실적2017",51
"디티알오토모티브","실적2018",54
"디티알오토모티브","실적2019",45
"디티알오토모티브","실적2020",NA
"디티앤씨","실적2017",63
"디티앤씨","실적2018",94
"디티앤씨","실적2019",111
"디티앤씨","실적2020",NA
"디피씨","실적2017",37
"디피씨","실적2018",31
"디피씨","실적2019",41
"디피씨","실적2020",NA
"딜리","실적2017",8
"딜리","실적2018",7
"딜리","실적2019",10
"딜리","실적2020",NA
"라닉스","실적2017",142
"라닉스","실적2018",130
"라닉스","실적2019",15
"라닉스","실적2020",NA
"라온시큐어","실적2017",27
"라온시큐어","실적2018",35
"라온시큐어","실적2019",123
"라온시큐어","실적2020",NA
"라온피플","실적2017",19
"라온피플","실적2018",12
"라온피플","실적2019",4
"라온피플","실적2020",NA
"라이브파이낸셜","실적2017",38
"라이브파이낸셜","실적2018",47
"라이브파이낸셜","실적2019",15
"라이브파이낸셜","실적2020",NA
"라이브플렉스","실적2017",45
"라이브플렉스","실적2018",58
"라이브플렉스","실적2019",526
"라이브플렉스","실적2020",NA
"라이온켐텍","실적2017",16
"라이온켐텍","실적2018",30
"라이온켐텍","실적2019",21
"라이온켐텍","실적2020",NA
"라이트론","실적2017",83
"라이트론","실적2018",148
"라이트론","실적2019",110
"라이트론","실적2020",NA
"라파스","실적2017",44
"라파스","실적2018",71
"라파스","실적2019",31
"라파스","실적2020",NA
"락앤락","실적2017",13
"락앤락","실적2018",11
"락앤락","실적2019",16
"락앤락","실적2020",NA
"램테크놀러지","실적2017",174
"램테크놀러지","실적2018",154
"램테크놀러지","실적2019",88
"램테크놀러지","실적2020",NA
"랩지노믹스","실적2017",78
"랩지노믹스","실적2018",56
"랩지노믹스","실적2019",62
"랩지노믹스","실적2020",NA
"러셀","실적2017",50
"러셀","실적2018",28
"러셀","실적2019",12
"러셀","실적2020",NA
"럭슬","실적2017",159
"럭슬","실적2018",225
"럭슬","실적2019",363
"럭슬","실적2020",NA
"레고켐바이오","실적2017",66
"레고켐바이오","실적2018",15
"레고켐바이오","실적2019",22
"레고켐바이오","실적2020",NA
"레드로버","실적2017",13
"레드로버","실적2018",12
"레드로버","실적2019",384
"레드로버","실적2020",NA
"레드캡투어","실적2017",220
"레드캡투어","실적2018",161
"레드캡투어","실적2019",154
"레드캡투어","실적2020",NA
"레몬","실적2017",1031
"레몬","실적2018",38
"레몬","실적2019",419
"레몬","실적2020",NA
"레이","실적2017",75
"레이","실적2018",57
"레이","실적2019",33
"레이","실적2020",NA
"레이언스","실적2017",11
"레이언스","실적2018",10
"레이언스","실적2019",19
"레이언스","실적2020",NA
"레이크머티리얼즈","실적2017",136
"레이크머티리얼즈","실적2018",149
"레이크머티리얼즈","실적2019",170
"레이크머티리얼즈","실적2020",NA
"로보로보","실적2017",12
"로보로보","실적2018",5
"로보로보","실적2019",10
"로보로보","실적2020",NA
"로보스타","실적2017",159
"로보스타","실적2018",66
"로보스타","실적2019",72
"로보스타","실적2020",NA
"로보티즈","실적2017",27
"로보티즈","실적2018",11
"로보티즈","실적2019",5
"로보티즈","실적2020",NA
"로스웰","실적2017",40
"로스웰","실적2018",31
"로스웰","실적2019",28
"로스웰","실적2020",NA
"로지시스","실적2017",61
"로지시스","실적2018",54
"로지시스","실적2019",54
"로지시스","실적2020",NA
"로체시스템즈","실적2017",26
"로체시스템즈","실적2018",46
"로체시스템즈","실적2019",83
"로체시스템즈","실적2020",NA
"롯데관광개발","실적2017",132
"롯데관광개발","실적2018",80
"롯데관광개발","실적2019",89
"롯데관광개발","실적2020",NA
"롯데손해보험","실적2017",2239
"롯데손해보험","실적2018",2423
"롯데손해보험","실적2019",1584
"롯데손해보험","실적2020",NA
"롯데쇼핑","실적2017",109
"롯데쇼핑","실적2018",111
"롯데쇼핑","실적2019",185
"롯데쇼핑","실적2020",NA
"롯데정밀화학","실적2017",37
"롯데정밀화학","실적2018",23
"롯데정밀화학","실적2019",20
"롯데정밀화학","실적2020",NA
"롯데정보통신","실적2017",167
"롯데정보통신","실적2018",92
"롯데정보통신","실적2019",78
"롯데정보통신","실적2020",NA
"롯데제과","실적2017",130
"롯데제과","실적2018",102
"롯데제과","실적2019",108
"롯데제과","실적2020",NA
"롯데지주","실적2017",192
"롯데지주","실적2018",227
"롯데지주","실적2019",100
"롯데지주","실적2020",NA
"롯데칠성음료","실적2017",165
"롯데칠성음료","실적2018",167
"롯데칠성음료","실적2019",165
"롯데칠성음료","실적2020",NA
"롯데케미칼","실적2017",59
"롯데케미칼","실적2018",53
"롯데케미칼","실적2019",42
"롯데케미칼","실적2020",NA
"롯데푸드","실적2017",83
"롯데푸드","실적2018",77
"롯데푸드","실적2019",86
"롯데푸드","실적2020",NA
"롯데하이마트","실적2017",58
"롯데하이마트","실적2018",51
"롯데하이마트","실적2019",61
"롯데하이마트","실적2020",NA
"루멘스","실적2017",55
"루멘스","실적2018",73
"루멘스","실적2019",113
"루멘스","실적2020",NA
"루트로닉","실적2017",47
"루트로닉","실적2018",66
"루트로닉","실적2019",75
"루트로닉","실적2020",NA
"룽투코리아","실적2017",47
"룽투코리아","실적2018",15
"룽투코리아","실적2019",7
"룽투코리아","실적2020",NA
"리노공업","실적2017",8
"리노공업","실적2018",7
"리노공업","실적2019",8
"리노공업","실적2020",NA
"리노스","실적2017",32
"리노스","실적2018",25
"리노스","실적2019",49
"리노스","실적2020",NA
"리더스 기술투자","실적2017",17
"리더스 기술투자","실적2018",28
"리더스 기술투자","실적2019",165
"리더스 기술투자","실적2020",NA
"리더스코스메틱","실적2017",76
"리더스코스메틱","실적2018",66
"리더스코스메틱","실적2019",171
"리더스코스메틱","실적2020",NA
"리드코프","실적2017",251
"리드코프","실적2018",242
"리드코프","실적2019",181
"리드코프","실적2020",NA
"리메드","실적2017",150
"리메드","실적2018",96
"리메드","실적2019",41
"리메드","실적2020",NA
"릭스솔루션","실적2017",113
"릭스솔루션","실적2018",164
"릭스솔루션","실적2019",176
"릭스솔루션","실적2020",NA
"린드먼아시아","실적2017",9
"린드먼아시아","실적2018",8
"린드먼아시아","실적2019",17
"린드먼아시아","실적2020",NA
"링네트","실적2017",55
"링네트","실적2018",77
"링네트","실적2019",62
"링네트","실적2020",NA
"링크제니시스","실적2017",14
"링크제니시스","실적2018",15
"링크제니시스","실적2019",9
"링크제니시스","실적2020",NA
"마니커","실적2017",160
"마니커","실적2018",86
"마니커","실적2019",107
"마니커","실적2020",NA
"마니커에프앤지","실적2017",152
"마니커에프앤지","실적2018",124
"마니커에프앤지","실적2019",59
"마니커에프앤지","실적2020",NA
"마이더스AI","실적2017",89
"마이더스AI","실적2018",141
"마이더스AI","실적2019",1764
"마이더스AI","실적2020",NA
"마이크로디지탈","실적2017",1189
"마이크로디지탈","실적2018",31
"마이크로디지탈","실적2019",30
"마이크로디지탈","실적2020",NA
"마이크로컨텍솔","실적2017",11
"마이크로컨텍솔","실적2018",12
"마이크로컨텍솔","실적2019",14
"마이크로컨텍솔","실적2020",NA
"마이크로프랜드","실적2017",16
"마이크로프랜드","실적2018",34
"마이크로프랜드","실적2019",41
"마이크로프랜드","실적2020",NA
"마크로젠","실적2017",87
"마크로젠","실적2018",52
"마크로젠","실적2019",109
"마크로젠","실적2020",NA
"만도","실적2017",215
"만도","실적2018",199
"만도","실적2019",189
"만도","실적2020",NA
"만호제강","실적2017",9
"만호제강","실적2018",8
"만호제강","실적2019",7
"만호제강","실적2020",NA
"매일유업","실적2017",105
"매일유업","실적2018",77
"매일유업","실적2019",67
"매일유업","실적2020",NA
"매일홀딩스","실적2017",88
"매일홀딩스","실적2018",64
"매일홀딩스","실적2019",66
"매일홀딩스","실적2020",NA
"매직마이크로","실적2017",173
"매직마이크로","실적2018",91
"매직마이크로","실적2019",121
"매직마이크로","실적2020",NA
"매커스","실적2017",80
"매커스","실적2018",68
"매커스","실적2019",92
"매커스","실적2020",NA
"맥스로텍","실적2017",148
"맥스로텍","실적2018",155
"맥스로텍","실적2019",168
"맥스로텍","실적2020",NA
"머큐리","실적2017",117
"머큐리","실적2018",36
"머큐리","실적2019",48
"머큐리","실적2020",NA
"멀티캠퍼스","실적2017",35
"멀티캠퍼스","실적2018",47
"멀티캠퍼스","실적2019",81
"멀티캠퍼스","실적2020",NA
"메가스터디","실적2017",24
"메가스터디","실적2018",25
"메가스터디","실적2019",27
"메가스터디","실적2020",NA
"메가스터디교육","실적2017",59
"메가스터디교육","실적2018",70
"메가스터디교육","실적2019",72
"메가스터디교육","실적2020",NA
"메가엠디","실적2017",61
"메가엠디","실적2018",76
"메가엠디","실적2019",88
"메가엠디","실적2020",NA
"메드팩토","실적2017",-112
"메드팩토","실적2018",594
"메드팩토","실적2019",2
"메드팩토","실적2020",NA
"메디아나","실적2017",20
"메디아나","실적2018",14
"메디아나","실적2019",13
"메디아나","실적2020",NA
"메디앙스","실적2017",110
"메디앙스","실적2018",139
"메디앙스","실적2019",84
"메디앙스","실적2020",NA
"메디콕스","실적2017",216
"메디콕스","실적2018",165
"메디콕스","실적2019",179
"메디콕스","실적2020",NA
"메디톡스","실적2017",93
"메디톡스","실적2018",53
"메디톡스","실적2019",60
"메디톡스","실적2020",NA
"메디포스트","실적2017",38
"메디포스트","실적2018",38
"메디포스트","실적2019",90
"메디포스트","실적2020",NA
"메디프론","실적2017",6
"메디프론","실적2018",12
"메디프론","실적2019",10
"메디프론","실적2020",NA
"메리츠금융지주","실적2017",770
"메리츠금융지주","실적2018",857
"메리츠금융지주","실적2019",935
"메리츠금융지주","실적2020",NA
"메리츠증권","실적2017",607
"메리츠증권","실적2018",797
"메리츠증권","실적2019",848
"메리츠증권","실적2020",NA
"메리츠화재","실적2017",920
"메리츠화재","실적2018",796
"메리츠화재","실적2019",851
"메리츠화재","실적2020",NA
"메이슨캐피탈","실적2017",205
"메이슨캐피탈","실적2018",72
"메이슨캐피탈","실적2019",58
"메이슨캐피탈","실적2020",NA
"메지온","실적2017",39
"메지온","실적2018",30
"메지온","실적2019",37
"메지온","실적2020",NA
"메카로","실적2017",19
"메카로","실적2018",10
"메카로","실적2019",11
"메카로","실적2020",NA
"메타랩스","실적2017",62
"메타랩스","실적2018",46
"메타랩스","실적2019",67
"메타랩스","실적2020",NA
"메타바이오메드","실적2017",153
"메타바이오메드","실적2018",90
"메타바이오메드","실적2019",88
"메타바이오메드","실적2020",NA
"메탈라이프","실적2017",68
"메탈라이프","실적2018",35
"메탈라이프","실적2019",15
"메탈라이프","실적2020",NA
"멕아이씨에스","실적2017",188
"멕아이씨에스","실적2018",345
"멕아이씨에스","실적2019",493
"멕아이씨에스","실적2020",NA
"멜파스","실적2017",74
"멜파스","실적2018",125
"멜파스","실적2019",165
"멜파스","실적2020",NA
"명문제약","실적2017",131
"명문제약","실적2018",161
"명문제약","실적2019",229
"명문제약","실적2020",NA
"명성티엔에스","실적2017",223
"명성티엔에스","실적2018",73
"명성티엔에스","실적2019",73
"명성티엔에스","실적2020",NA
"모나리자","실적2017",18
"모나리자","실적2018",20
"모나리자","실적2019",18
"모나리자","실적2020",NA
"모나미","실적2017",122
"모나미","실적2018",129
"모나미","실적2019",140
"모나미","실적2020",NA
"모다이노칩","실적2017",125
"모다이노칩","실적2018",83
"모다이노칩","실적2019",150
"모다이노칩","실적2020",NA
"모두투어","실적2017",113
"모두투어","실적2018",107
"모두투어","실적2019",175
"모두투어","실적2020",NA
"모바일리더","실적2017",7
"모바일리더","실적2018",8
"모바일리더","실적2019",18
"모바일리더","실적2020",NA
"모바일어플라이언스","실적2017",104
"모바일어플라이언스","실적2018",81
"모바일어플라이언스","실적2019",78
"모바일어플라이언스","실적2020",NA
"모베이스","실적2017",21
"모베이스","실적2018",33
"모베이스","실적2019",188
"모베이스","실적2020",NA
"모베이스전자","실적2017",317
"모베이스전자","실적2018",388
"모베이스전자","실적2019",317
"모베이스전자","실적2020",NA
"모비스","실적2017",5
"모비스","실적2018",12
"모비스","실적2019",26
"모비스","실적2020",NA
"모아텍","실적2017",8
"모아텍","실적2018",7
"모아텍","실적2019",6
"모아텍","실적2020",NA
"모토닉","실적2017",9
"모토닉","실적2018",7
"모토닉","실적2019",8
"모토닉","실적2020",NA
"모트렉스","실적2017",47
"모트렉스","실적2018",244
"모트렉스","실적2019",409
"모트렉스","실적2020",NA
"모헨즈","실적2017",167
"모헨즈","실적2018",135
"모헨즈","실적2019",99
"모헨즈","실적2020",NA
"무림P&P","실적2017",95
"무림P&P","실적2018",113
"무림P&P","실적2019",117
"무림P&P","실적2020",NA
"무림SP","실적2017",56
"무림SP","실적2018",56
"무림SP","실적2019",45
"무림SP","실적2020",NA
"무림페이퍼","실적2017",196
"무림페이퍼","실적2018",201
"무림페이퍼","실적2019",213
"무림페이퍼","실적2020",NA
"무학","실적2017",25
"무학","실적2018",22
"무학","실적2019",21
"무학","실적2020",NA
"문배철강","실적2017",54
"문배철강","실적2018",37
"문배철강","실적2019",75
"문배철강","실적2020",NA
"미디어젠","실적2017",86
"미디어젠","실적2018",73
"미디어젠","실적2019",68
"미디어젠","실적2020",NA
"미래SCI","실적2017",186
"미래SCI","실적2018",182
"미래SCI","실적2019",221
"미래SCI","실적2020",NA
"미래나노텍","실적2017",72
"미래나노텍","실적2018",86
"미래나노텍","실적2019",81
"미래나노텍","실적2020",NA
"미래산업","실적2017",39
"미래산업","실적2018",44
"미래산업","실적2019",13
"미래산업","실적2020",NA
"미래생명자원","실적2017",25
"미래생명자원","실적2018",19
"미래생명자원","실적2019",29
"미래생명자원","실적2020",NA
"미래아이앤지","실적2017",4
"미래아이앤지","실적2018",4
"미래아이앤지","실적2019",3
"미래아이앤지","실적2020",NA
"미래에셋대우","실적2017",1127
"미래에셋대우","실적2018",1313
"미래에셋대우","실적2019",1348
"미래에셋대우","실적2020",NA
"미래에셋대우스팩 5호","실적2017",NA
"미래에셋대우스팩 5호","실적2018",NA
"미래에셋대우스팩 5호","실적2019",NA
"미래에셋대우스팩 5호","실적2020",NA
"미래에셋대우스팩3호","실적2017",NA
"미래에셋대우스팩3호","실적2018",NA
"미래에셋대우스팩3호","실적2019",17
"미래에셋대우스팩3호","실적2020",NA
"미래에셋대우스팩4호","실적2017",NA
"미래에셋대우스팩4호","실적2018",NA
"미래에셋대우스팩4호","실적2019",28
"미래에셋대우스팩4호","실적2020",NA
"미래에셋벤처투자","실적2017",5
"미래에셋벤처투자","실적2018",174
"미래에셋벤처투자","실적2019",172
"미래에셋벤처투자","실적2020",NA
"미래에셋생명","실적2017",1631
"미래에셋생명","실적2018",1577
"미래에셋생명","실적2019",1527
"미래에셋생명","실적2020",NA
"미래컴퍼니","실적2017",66
"미래컴퍼니","실적2018",37
"미래컴퍼니","실적2019",18
"미래컴퍼니","실적2020",NA
"미래테크놀로지","실적2017",34
"미래테크놀로지","실적2018",28
"미래테크놀로지","실적2019",45
"미래테크놀로지","실적2020",NA
"미스터블루","실적2017",29
"미스터블루","실적2018",37
"미스터블루","실적2019",45
"미스터블루","실적2020",NA
"미원상사","실적2017",40
"미원상사","실적2018",24
"미원상사","실적2019",25
"미원상사","실적2020",NA
"미원에스씨","실적2017",18
"미원에스씨","실적2018",25
"미원에스씨","실적2019",25
"미원에스씨","실적2020",NA
"미원홀딩스","실적2017",33
"미원홀딩스","실적2018",68
"미원홀딩스","실적2019",59
"미원홀딩스","실적2020",NA
"미원화학","실적2017",14
"미원화학","실적2018",8
"미원화학","실적2019",16
"미원화학","실적2020",NA
"미창석유공업","실적2017",13
"미창석유공업","실적2018",13
"미창석유공업","실적2019",14
"미창석유공업","실적2020",NA
"미코","실적2017",72
"미코","실적2018",123
"미코","실적2019",139
"미코","실적2020",NA
"미코바이오메드","실적2017",593
"미코바이오메드","실적2018",323
"미코바이오메드","실적2019",2402
"미코바이오메드","실적2020",NA
"미투온","실적2017",128
"미투온","실적2018",67
"미투온","실적2019",77
"미투온","실적2020",NA
"미투젠","실적2017",NA
"미투젠","실적2018",33
"미투젠","실적2019",51
"미투젠","실적2020",NA
"민앤지","실적2017",55
"민앤지","실적2018",51
"민앤지","실적2019",40
"민앤지","실적2020",NA
"바디텍메드","실적2017",53
"바디텍메드","실적2018",52
"바디텍메드","실적2019",31
"바디텍메드","실적2020",NA
"바른손","실적2017",35
"바른손","실적2018",45
"바른손","실적2019",15
"바른손","실적2020",NA
"바른손이앤에이","실적2017",93
"바른손이앤에이","실적2018",25
"바른손이앤에이","실적2019",45
"바른손이앤에이","실적2020",NA
"바른전자","실적2017",128
"바른전자","실적2018",413
"바른전자","실적2019",94
"바른전자","실적2020",NA
"바이넥스","실적2017",27
"바이넥스","실적2018",25
"바이넥스","실적2019",25
"바이넥스","실적2020",NA
"바이브컴퍼니","실적2017",356
"바이브컴퍼니","실적2018",107
"바이브컴퍼니","실적2019",110
"바이브컴퍼니","실적2020",NA
"바이오니아","실적2017",116
"바이오니아","실적2018",81
"바이오니아","실적2019",159
"바이오니아","실적2020",NA
"바이오로그디바이스","실적2017",52
"바이오로그디바이스","실적2018",66
"바이오로그디바이스","실적2019",58
"바이오로그디바이스","실적2020",NA
"바이오리더스","실적2017",6
"바이오리더스","실적2018",124
"바이오리더스","실적2019",153
"바이오리더스","실적2020",NA
"바이오솔루션","실적2017",67
"바이오솔루션","실적2018",7
"바이오솔루션","실적2019",7
"바이오솔루션","실적2020",NA
"바이오스마트","실적2017",77
"바이오스마트","실적2018",71
"바이오스마트","실적2019",73
"바이오스마트","실적2020",NA
"바이오톡스텍","실적2017",91
"바이오톡스텍","실적2018",76
"바이오톡스텍","실적2019",92
"바이오톡스텍","실적2020",NA
"바이온","실적2017",65
"바이온","실적2018",66
"바이온","실적2019",77
"바이온","실적2020",NA
"바텍","실적2017",61
"바텍","실적2018",56
"바텍","실적2019",52
"바텍","실적2020",NA
"박셀바이오","실적2017",NA
"박셀바이오","실적2018",-200
"박셀바이오","실적2019",10
"박셀바이오","실적2020",NA
"방림","실적2017",36
"방림","실적2018",32
"방림","실적2019",24
"방림","실적2020",NA
"배럴","실적2017",42
"배럴","실적2018",7
"배럴","실적2019",27
"배럴","실적2020",NA
"백광산업","실적2017",115
"백광산업","실적2018",93
"백광산업","실적2019",96
"백광산업","실적2020",NA
"백금T&A","실적2017",110
"백금T&A","실적2018",72
"백금T&A","실적2019",77
"백금T&A","실적2020",NA
"백산","실적2017",53
"백산","실적2018",113
"백산","실적2019",132
"백산","실적2020",NA
"버추얼텍","실적2017",111
"버추얼텍","실적2018",57
"버추얼텍","실적2019",140
"버추얼텍","실적2020",NA
"버킷스튜디오","실적2017",14
"버킷스튜디오","실적2018",119
"버킷스튜디오","실적2019",30
"버킷스튜디오","실적2020",NA
"범양건영","실적2017",186
"범양건영","실적2018",136
"범양건영","실적2019",97
"범양건영","실적2020",NA
"베노홀딩스","실적2017",32
"베노홀딩스","실적2018",254
"베노홀딩스","실적2019",30
"베노홀딩스","실적2020",NA
"베뉴지","실적2017",88
"베뉴지","실적2018",96
"베뉴지","실적2019",97
"베뉴지","실적2020",NA
"베셀","실적2017",115
"베셀","실적2018",179
"베셀","실적2019",342
"베셀","실적2020",NA
"베스파","실적2017",1033
"베스파","실적2018",23
"베스파","실적2019",25
"베스파","실적2020",NA
"벽산","실적2017",54
"벽산","실적2018",60
"벽산","실적2019",58
"벽산","실적2020",NA
"보광산업","실적2017",54
"보광산업","실적2018",60
"보광산업","실적2019",48
"보광산업","실적2020",NA
"보라티알","실적2017",28
"보라티알","실적2018",13
"보라티알","실적2019",56
"보라티알","실적2020",NA
"보락","실적2017",19
"보락","실적2018",21
"보락","실적2019",26
"보락","실적2020",NA
